_Computer Name; _Date and Time; _Login Page; _iCare2 Page; _Scenario Name; _Overview; _Composite; _Side By Side; _Demographics; _Export Composite Tab; _Export Side By Side; _Export Composite Tab
OGA-01;20140730_193155;3284;94732;10A;;;;14282;;;4181;
OGA-01;20140730_193237;;;10B;;;8149;;;2352;;
OGA-01;20140730_193312;;;10C;;11408;;;5973;;;
OGA-01;20140730_193459;;;10D;;;;11851;;;6445;
