_Computer Name; _Date and Time; _Login Page; _iCare2 Page; _Scenario Name; _Overview; _Composite; _Side By Side; _Demographics; _Export Composite Tab; _Export Side By Side; _Export Composite Tab
OGA-01;20140730_190315;2935;95262;10A;95262;;;18759;;;5001;
OGA-01;20140730_190441;;;10B;5001;;;;;;;
OGA-01;20140730_190603;;;10C;292;10690;;;7212;;;
OGA-01;20140730_190733;;;10D;7212;;;11229;;;6422;
